,Combined p-vlaue,AvgAdjP,AvgLogFC,Total_pF_padj,Total_pF_log2FC,PolyA_pF_padj,PolyA_pF_log2FC,Gage_pF_padj,Gage_pF_log2FC,Total_FC_padj,Total_FC_log2FC,Gage_FC_padj,Gage_FC_log2FC,Total_SN_padj,Total_SN_log2FC
NETO2,5.72329070587551e-15,0.002110305,2.192881548,1.00667062144985e-11,2.551810201,2.8972608472789e-11,3.355838536,3.99109686955688e-07,2.183682087,8.22569611322248e-12,1.620628198,1.64234134194836e-06,2.369271521,0.012659786,1.076058747
STRIP2,2.88252865284411e-06,0.05952505,1.068925899,0.008700298,0.819377206,0.001933874,1.699283628,0.184115652,1.040038841,4.60869862885261e-08,0.928948643,0.000823246,1.341655576,0.161577186,0.584251496
TRAF3IP2,4.00617612363789e-06,0.062881927,-0.676714343,0.090119476,-0.283623062,0.084134618,-0.599999429,0.043762637,-0.709970464,0.002621626,-0.693951555,0.001297377,-1.432271444,0.155355826,-0.340470107
GPRIN1,1.11655198457597e-05,0.074596306,1.03645376,0.06245465,0.720270877,0.060670249,1.059093204,0.212045608,0.833174215,0.006618829,0.560526286,0.001100776,2.271304623,0.104687726,0.774353356
PLCB1,1.14460328650861e-05,0.074905435,1.000040089,0.001143329,1.026266857,0.214688557,0.729193355,0.143611983,1.175543008,2.27874097124993e-05,1.068691972,0.000125124,1.510886141,0.08984083,0.489659202
SPATA18,9.18203599851173e-05,0.105980834,-1.158191028,0.006700419,-1.011818869,0.564727638,-0.682751723,0.01004035,-0.757998392,8.9896354877316e-14,-1.478400467,0.051455611,-1.735206839,0.002960983,-1.282969879
PEG10,0.000131696,0.112546674,1.241720903,0.455303879,0.617447819,4.62602540166546e-07,2.507157901,0.027852864,1.439839413,0.151589432,0.294887053,0.015188407,1.294184942,0.025345,1.296808289
GNAZ,0.000198428,0.120504932,1.600152236,0.00527466,1.751866344,0.182267448,1.969009555,8.46366433079062e-11,4.547730848,0.005304518,0.419093438,0.464592649,0.561982875,0.065590318,0.351230356
CD14,0.000456245,0.138442846,-1.182329127,0.012198015,-0.894523383,0.608783017,-0.725120582,0.008355358,-2.138030431,0.155226105,-0.591717917,0.025937511,-1.605520512,0.02015707,-1.139061935
ASAP3,0.000480527,0.139644493,-0.730246666,0.001949141,-0.625040653,0.026589052,-0.803179558,0.119486719,-1.072344284,0.01512201,-0.536520314,0.015103716,-1.213749793,0.659616319,-0.130645391
ABHD14B,0.000768921,0.151025778,-0.660566998,0.018491365,-0.285972071,0.563887953,-0.422085301,0.026193309,-0.784953162,0.066451946,-0.451234353,0.001478766,-1.746200037,0.229651328,-0.272957065
TNXB,0.000780235,0.151393907,-1.741983943,0.34774857,-0.917834215,0.050047615,-1.57232185,1.35386752891162e-12,-5.565652538,0.070452006,-0.699959335,0.004777062,-1.269156744,0.435338189,-0.426978975
NEK11,0.00082746,0.152883997,-0.52509239,0.115829999,-0.394037414,0.497097198,-0.506793024,0.106729941,-0.756535754,2.60058787718219e-06,-0.468250154,0.045964096,-0.777447672,0.151680149,-0.247490323
MMP16,0.000992807,0.157597128,0.733787606,0.08259863,0.647652119,0.112397202,1.175953329,0.653193086,0.558406738,0.080533186,0.266964371,0.012667233,1.243267894,0.004193431,0.510481185
IL11RA,0.001063595,0.159416611,-0.601687792,0.132291687,-0.442632927,0.036089784,-0.551100962,0.327941804,-0.78134616,0.001187702,-0.799417492,0.100930388,-0.804701672,0.358058302,-0.230927538
PHLDA1,0.001080857,0.159844933,0.807391159,0.317346316,0.429380123,0.002948994,1.409262386,0.161392569,1.552775452,1.68412735826394e-08,0.629407852,0.13275293,0.596312693,0.344628772,0.22720845
TCEA3,0.001164272,0.161837773,-0.673977117,0.289972561,-0.47784689,0.030736521,-0.994008605,0.470324906,-0.463087998,0.014203505,-0.658183519,0.053763009,-0.991944147,0.112026135,-0.458791543
TYMP,0.001192235,0.162479204,-0.980548067,0.18385412,-0.518622085,0.092756952,-0.999226812,0.478707964,-0.590143375,0.157512545,-0.674157698,2.99840249292058e-05,-2.264693368,0.062013661,-0.836445066
UBE2T,0.001235815,0.163454317,1.012811956,0.02629857,0.787842378,2.37419054348738e-07,2.021617616,0.44522583,0.786991894,0.00227453,0.921786421,0.264464371,0.857802718,0.242462364,0.700830711
KPNA2,0.001412255,0.167130745,0.728762174,0.068705813,0.572579947,0.000348182,1.704170436,0.620488223,0.317571099,4.29455465303172e-06,0.762386982,0.286076675,0.440356751,0.027161281,0.575507827
CKS2,0.001436726,0.167609953,1.137984104,0.250287625,0.544828513,8.69905759086487e-07,2.43035728,0.100772532,1.294707529,0.000979738,1.003499128,0.563538536,0.623248425,0.090080418,0.931263751
CYCS,0.001446993,0.167809,0.529273868,0.002706982,0.306519621,0.473242989,0.443867655,0.467550303,0.428540125,4.84811598621977e-08,0.832411126,0.006587754,0.766840926,0.056765926,0.397463755
ZHX2,0.001541307,0.169584322,-0.656858313,0.124743775,-0.380297654,0.000901023,-0.845641112,0.002859264,-1.053105466,0.211150661,-0.369461978,0.07341253,-1.186885378,0.604438677,-0.105758289
CAPG,0.001941278,0.176232276,-0.912010413,0.230866431,-0.562380648,0.305711897,-0.583764933,0.226845679,-0.784512239,0.071059426,-0.713419191,0.011243883,-2.356974016,0.211666338,-0.471011453
PDGFRB,0.002190407,0.179814635,-0.684712781,0.028345688,-0.617365126,0.012456634,-0.944713816,0.040819731,-1.11811097,0.640027557,-0.170160156,0.21677492,-0.863274731,0.140463282,-0.394651888
