,CombinedP,AvgAdjP,AvgLogFC,Total_pF_padj,Total_pF_log2FC,PolyA_pF_padj,PolyA_pF_log2FC,Gage_pF_padj,Gage_pF_log2FC
MYEF2,1.6864E-12,7.2097E-05,2.0038,7.0591E-05,1.2290,1.4544E-04,2.1956,2.6277E-07,2.5868
KRT34,6.2965E-08,2.4097E-03,2.6591,2.4429E-03,1.8074,4.7815E-03,1.8381,4.6701E-06,4.3318
FGF13,1.2294E-07,3.0118E-03,-3.2623,6.6382E-08,-3.4890,4.8436E-06,-3.3436,9.0305E-03,-2.9543
C15orf59,5.3973E-07,4.9316E-03,-1.2014,8.6197E-04,-0.8118,2.9117E-03,-0.9892,1.1021E-02,-1.8034
AC109642.1,1.4498E-06,6.8554E-03,-2.8875,8.3230E-03,-1.8801,1.0265E-02,-2.8224,1.9778E-03,-3.9600
MT2A,3.0515E-06,8.7855E-03,1.8433,6.0704E-03,1.1109,1.9958E-02,1.4193,3.2854E-04,2.9997
SGCA,3.5194E-06,9.2134E-03,-3.0610,1.2097E-02,-2.2099,1.5510E-02,-3.5588,3.3299E-05,-3.4142
WISP2,5.3630E-06,1.0602E-02,-3.6335,2.1102E-02,-2.0995,1.0704E-02,-2.4395,1.3680E-09,-6.3614
CADPS,2.6929E-05,1.8155E-02,-3.9048,1.9307E-02,-3.0045,1.4489E-10,-5.7087,3.5158E-02,-3.0011
ASPA,3.7327E-05,2.0243E-02,-2.9411,1.3892E-02,-1.6735,4.6832E-02,-2.7063,3.3486E-06,-4.4433
CFD,5.4078E-05,2.2905E-02,-2.9391,1.1804E-02,-1.4611,5.6912E-02,-2.4297,8.4452E-07,-4.9265
HAND2-AS1,1.3121E-04,3.0779E-02,-2.2035,8.8840E-03,-1.5822,8.0611E-02,-2.0160,2.8405E-03,-3.0121
MT1E,1.3508E-04,3.1078E-02,1.2049,7.1569E-03,0.8285,3.5437E-02,0.9886,5.0641E-02,1.7975
JDP2,2.4708E-04,3.8008E-02,-0.6353,4.5664E-02,-0.3867,4.4677E-03,-0.6136,6.3893E-02,-0.9057
PAX3,2.4711E-04,3.8009E-02,2.2451,1.9307E-02,2.1581,7.4908E-02,2.2570,1.9813E-02,2.3201
E2F7,3.2500E-04,4.1644E-02,1.5612,2.4561E-02,0.8385,1.2946E-04,1.8230,1.0024E-01,2.0222
MFSD7,3.6360E-04,4.3232E-02,-0.9706,4.5874E-03,-0.7460,1.2385E-01,-0.6648,1.2551E-03,-1.5012
RP11-175K6.1,4.6818E-04,4.7033E-02,-1.6271,8.0219E-03,-1.1745,6.9719E-02,-0.9558,6.3358E-02,-2.7510
RCAN2,5.4965E-04,4.9616E-02,-1.4446,1.8788E-04,-1.3801,3.7023E-02,-1.3435,1.1164E-01,-1.6102
RTKN2,6.2681E-04,5.1837E-02,1.6769,3.7722E-04,1.6884,8.2563E-02,1.4707,7.2572E-02,1.8716
GREM2,6.4422E-04,5.2313E-02,-1.5493,7.0940E-02,-0.7003,8.4640E-02,-0.9091,1.3585E-03,-3.0385
HAND2,1.1568E-03,6.3585E-02,-2.2262,6.5833E-03,-1.6233,1.8213E-01,-2.0466,2.0410E-03,-3.0088
APOLD1,1.3187E-03,6.6422E-02,1.0518,5.7873E-02,0.5218,3.7933E-03,1.5337,1.3760E-01,1.0999
MXRA5,1.4170E-03,6.8033E-02,-1.4962,5.8617E-03,-1.4675,3.3980E-02,-1.5716,1.6426E-01,-1.4495
TMEM119,1.4884E-03,6.9157E-02,-1.2169,8.5426E-04,-0.9999,1.2637E-02,-1.4036,1.9398E-01,-1.2471
NFIX,1.5093E-03,6.9479E-02,-0.6448,1.2556E-01,-0.3155,1.1419E-02,-0.4884,7.1456E-02,-1.1305
MST1R,1.5484E-03,7.0074E-02,-2.1052,4.2652E-02,-1.7401,1.0657E-01,-2.3127,6.0996E-02,-2.2628
GYPE,1.6911E-03,7.2164E-02,-0.9215,1.3161E-02,-0.7337,2.0077E-01,-0.8746,2.5584E-03,-1.1561
PDE1A,1.8374E-03,7.4187E-02,-1.5325,1.2261E-01,-1.3476,7.6636E-02,-1.5085,2.3314E-02,-1.7415
C1QTNF2,1.9089E-03,7.5137E-02,1.3016,1.5706E-01,0.6809,1.9117E-02,1.3425,4.9237E-02,1.8815
ZNF521,2.0123E-03,7.6470E-02,-1.3307,8.4101E-02,-1.0177,4.6902E-02,-1.8798,9.8407E-02,-1.0947
BRINP1,2.3828E-03,8.0901E-02,-1.8572,6.8887E-02,-1.4601,3.2175E-03,-2.4390,1.7060E-01,-1.6723
FAM107B,2.6394E-03,8.3707E-02,1.0866,7.0959E-03,1.1066,9.0596E-03,1.1216,2.3497E-01,1.0315
ITGB3BP,2.8240E-03,8.5615E-02,1.0014,3.3176E-02,0.4879,1.2062E-01,0.9679,1.0304E-01,1.5482
ESM1,3.0744E-03,8.8074E-02,2.0544,2.1102E-02,1.7004,2.3991E-01,1.4489,3.2089E-03,3.0140
RP11-445H22.3,3.2515E-03,8.9734E-02,-2.3301,1.3301E-01,-1.3503,1.7934E-02,-3.6024,1.1826E-01,-2.0375
MND1,3.3756E-03,9.0861E-02,1.3094,7.6898E-02,0.7558,4.1069E-03,1.9998,1.9158E-01,1.1727
PARK2,3.6806E-03,9.3519E-02,-1.4131,4.1045E-03,-1.5580,1.5362E-01,-1.4389,1.2284E-01,-1.2426
ZBTB47,4.0355E-03,9.6433E-02,-0.5549,8.3862E-02,-0.3228,5.1360E-05,-0.8787,2.0539E-01,-0.4632
LRRC2,4.2496E-03,9.8110E-02,-1.6078,1.9065E-01,-0.6860,1.0196E-01,-1.0388,1.7131E-03,-3.0985
IRX5,4.2667E-03,9.8241E-02,-0.8573,3.6872E-03,-0.7052,2.5588E-01,-0.4528,3.5158E-02,-1.4138
CD9,4.3748E-03,9.9064E-02,1.6303,2.3250E-02,1.4475,2.3563E-01,1.1067,3.8314E-02,2.3367
CDCA4,4.6691E-03,1.0124E-01,0.6748,4.7267E-02,0.5844,5.1382E-02,0.9480,2.0506E-01,0.4920
PCNA,4.9542E-03,1.0326E-01,0.7935,9.1683E-02,0.4390,1.0890E-02,0.8745,2.0720E-01,1.0672
C16orf74,5.1183E-03,1.0439E-01,1.2748,1.8213E-01,0.8117,1.4203E-03,1.8441,1.2961E-01,1.1687
VDR,5.3536E-03,1.0596E-01,-0.8220,7.0072E-02,-0.6119,4.1017E-02,-1.0053,2.0679E-01,-0.8488
SVIP,5.9750E-03,1.0991E-01,1.2268,2.1331E-01,0.7907,3.8796E-02,1.3159,7.7628E-02,1.5739
MYPN,5.9925E-03,1.1002E-01,2.2710,2.4687E-01,0.7798,8.3152E-02,1.3517,3.4519E-05,4.6813
EFCAB13,6.2456E-03,1.1155E-01,1.1227,1.1246E-02,0.8600,1.8159E-01,1.3591,1.4180E-01,1.1490
PSRC1,6.2998E-03,1.1187E-01,1.1781,2.0584E-01,0.5732,7.0919E-05,1.9223,1.2969E-01,1.0388
MTFR2,6.5819E-03,1.1351E-01,1.5396,3.3717E-02,0.9256,7.0919E-05,2.7667,3.0675E-01,0.9265
HIST1H2AG,6.5853E-03,1.1353E-01,1.1232,1.2662E-01,0.9142,1.3848E-01,0.7690,7.5490E-02,1.6863
DONSON,8.4226E-03,1.2324E-01,0.8644,1.9624E-02,0.6318,4.4129E-05,1.4220,3.5005E-01,0.5394
ZMYND8,8.6577E-03,1.2437E-01,0.4904,2.3318E-02,0.2848,2.8872E-02,0.6675,3.2093E-01,0.5188
LY6K,9.2515E-03,1.2715E-01,2.7052,3.7724E-01,1.2774,4.1450E-03,3.0350,7.7216E-05,3.8031
TOR4A,9.3081E-03,1.2741E-01,1.3756,5.9984E-02,1.0986,3.1306E-01,1.3036,9.1972E-03,1.7244
LSAMP,9.4005E-03,1.2783E-01,-1.6474,4.9558E-02,-1.3130,1.0520E-02,-1.9127,3.2342E-01,-1.7166
NDC80,1.0710E-02,1.3352E-01,1.6123,1.1239E-02,1.1389,2.2569E-08,2.7620,3.8931E-01,0.9359
ARHGEF39,1.1146E-02,1.3530E-01,1.0685,6.2720E-02,0.4973,3.4638E-02,1.6323,3.0854E-01,1.0758
LINC00607,1.1172E-02,1.3541E-01,-1.3062,9.9372E-02,-1.0156,4.3950E-02,-1.3929,2.6290E-01,-1.5102
PTGIS,1.1244E-02,1.3570E-01,-1.8984,1.6113E-01,-1.2105,1.4967E-03,-1.9163,2.4446E-01,-2.5684
IL20RB,1.1657E-02,1.3734E-01,-1.8334,3.9843E-01,-0.6862,1.3578E-02,-1.6828,6.3964E-15,-3.1312
AKR1C3,1.2054E-02,1.3888E-01,-1.4467,1.8507E-01,-0.7861,2.3052E-01,-1.2133,1.0511E-03,-2.3409
LBH,1.2168E-02,1.3932E-01,-1.2633,4.0111E-02,-0.7735,1.0789E-06,-1.5636,3.7784E-01,-1.4527
TYMS,1.2508E-02,1.4060E-01,1.2885,1.0295E-01,0.7749,4.9424E-05,2.0840,3.1881E-01,1.0067
CENPK,1.2948E-02,1.4223E-01,1.4374,1.0545E-01,0.7915,4.5346E-05,2.4254,3.2120E-01,1.0951
PCDHGA9,1.4084E-02,1.4627E-01,-1.1780,1.0313E-01,-0.7526,7.2166E-02,-1.5263,2.6353E-01,-1.2551
MLF1IP,1.5196E-02,1.5003E-01,1.5234,3.1499E-02,0.9850,3.1001E-09,2.6695,4.1859E-01,0.9157
CMTM7,1.5910E-02,1.5234E-01,0.6427,3.0629E-02,0.5100,2.7446E-01,0.5365,1.5193E-01,0.8816
SYTL4,1.6080E-02,1.5288E-01,0.7257,3.3717E-02,0.5037,6.2408E-02,0.8425,3.6252E-01,0.8311
EXOSC8,1.6280E-02,1.5351E-01,0.7312,9.3396E-04,0.6042,1.0185E-02,1.0792,4.4943E-01,0.5102
RFTN1,1.7203E-02,1.5636E-01,-0.6644,1.6343E-02,-0.5266,1.3614E-02,-0.6038,4.3913E-01,-0.8629
GPR153,1.7580E-02,1.5750E-01,-0.8022,7.6368E-02,-0.6355,6.7720E-02,-1.1436,3.2840E-01,-0.6274
ADRA2A,1.8267E-02,1.5952E-01,-2.0331,1.9008E-01,-0.8396,1.2582E-13,-1.9376,2.8848E-01,-3.3223
SPC25,1.8378E-02,1.5984E-01,1.7948,9.4068E-02,0.9983,1.0739E-04,3.0800,3.8536E-01,1.3062
DNA2,1.8556E-02,1.6036E-01,0.9928,1.0944E-03,0.8207,1.4404E-06,1.6789,4.7998E-01,0.4788
PLAC9,1.8926E-02,1.6142E-01,-0.9486,2.1789E-02,-0.7683,1.6425E-02,-1.3329,4.4604E-01,-0.7446
RIN2,1.9412E-02,1.6279E-01,-0.6230,2.7858E-02,-0.3730,4.5018E-01,-0.4781,1.0318E-02,-1.0180
TRIM8,2.1119E-02,1.6742E-01,-0.3260,5.4798E-02,-0.2526,2.7152E-01,-0.3260,1.7595E-01,-0.3994
MGME1,2.1369E-02,1.6808E-01,0.5691,5.0859E-02,0.3876,1.1487E-03,1.0523,4.5224E-01,0.2673
PEX26,2.1912E-02,1.6950E-01,-0.3741,4.1698E-02,-0.1929,2.5504E-01,-0.3436,2.1175E-01,-0.5857
RHPN2,2.3206E-02,1.7277E-01,1.2877,2.9860E-02,1.2651,4.8021E-01,1.2313,8.2329E-03,1.3668
RPS6KA1,2.3226E-02,1.7282E-01,1.5944,4.5230E-02,0.8275,4.7010E-01,1.0050,3.1209E-03,2.9505
CCDC14,2.3709E-02,1.7401E-01,0.5958,1.2422E-01,0.3845,1.0038E-01,0.6818,2.9743E-01,0.7212
RAD54L,2.4376E-02,1.7562E-01,1.2400,2.1863E-01,0.6232,2.8814E-04,2.2038,3.0795E-01,0.8930
C16orf59,2.4878E-02,1.7682E-01,1.2669,2.7044E-01,0.6303,3.3166E-03,2.0355,2.5671E-01,1.1350
CKLF,2.5596E-02,1.7851E-01,0.7623,1.5126E-01,0.2888,2.8624E-01,0.6218,9.8018E-02,1.3765
ACOX2,2.5814E-02,1.7901E-01,-0.6340,1.8801E-02,-0.3985,3.1706E-01,-0.5407,2.0117E-01,-0.9629
HMMR,2.6476E-02,1.8053E-01,1.5666,4.6092E-02,0.9471,1.0509E-06,2.7596,4.9550E-01,0.9932
KRBOX1,2.6629E-02,1.8088E-01,1.6246,6.3815E-02,1.3663,3.0257E-01,2.1270,1.7624E-01,1.3805
AFF2,2.6808E-02,1.8128E-01,-2.1127,8.8884E-03,-1.2819,4.3665E-01,-1.3560,9.8297E-02,-3.7002
HJURP,2.6964E-02,1.8163E-01,1.4322,5.2818E-02,0.9086,4.1822E-07,2.5644,4.9208E-01,0.8236
POC1B,2.7201E-02,1.8216E-01,0.5233,2.9653E-01,0.2203,1.6680E-01,0.6160,8.3146E-02,0.7336
GMNN,2.7569E-02,1.8298E-01,0.9244,2.1397E-03,0.7988,9.7443E-05,1.5235,5.4670E-01,0.4508
PSG5,2.7824E-02,1.8354E-01,-0.9924,1.8953E-02,-1.1892,7.4958E-02,-1.1508,4.5672E-01,-0.6371
RAD51B,2.7862E-02,1.8362E-01,0.5565,6.8027E-03,0.4567,5.5161E-02,0.8417,4.8891E-01,0.3711
REEP4,2.8004E-02,1.8394E-01,0.6275,4.3569E-01,0.2815,4.6051E-03,0.9638,1.1151E-01,0.6372
HDAC5,2.8094E-02,1.8413E-01,-0.5363,1.9547E-02,-0.4770,1.8649E-01,-0.6038,3.4637E-01,-0.5282
PTTG1,2.8378E-02,1.8475E-01,1.3714,3.3860E-01,0.6642,1.9838E-04,2.2284,2.1546E-01,1.2217
TDP1,2.8439E-02,1.8488E-01,0.4746,1.2372E-01,0.3919,2.2742E-01,0.5727,2.0352E-01,0.4591
PBK,2.8836E-02,1.8574E-01,1.6024,5.3122E-02,0.9143,1.7388E-07,2.7578,5.0410E-01,1.1350
ACP5,2.9797E-02,1.8778E-01,2.2334,4.6401E-01,0.5587,9.9092E-02,1.8999,2.4701E-04,4.2416
ADCY9,3.0487E-02,1.8922E-01,-0.5906,8.5861E-03,-0.5931,1.0086E-02,-0.7317,5.4899E-01,-0.4470
EXO1,3.2717E-02,1.9373E-01,1.2063,1.0850E-02,1.0555,2.9490E-03,1.9514,5.6738E-01,0.6121
POLA2,3.3472E-02,1.9521E-01,0.6898,1.2686E-01,0.5307,8.0593E-02,1.1380,3.7817E-01,0.4008
ACE,3.3671E-02,1.9559E-01,-0.8577,3.6926E-02,-0.7615,4.3591E-01,-0.6058,1.1394E-01,-1.2059
BUB3,3.4068E-02,1.9636E-01,0.5212,1.9819E-03,0.4991,7.0919E-05,0.8750,5.8702E-01,0.1896
AURKB,3.4463E-02,1.9711E-01,1.3440,2.3078E-01,0.7464,1.9233E-03,2.3390,3.5863E-01,0.9466
ATP8B2,3.4663E-02,1.9749E-01,-0.5296,2.4803E-02,-0.2798,2.3383E-01,-0.4158,3.3385E-01,-0.8933
KIAA0101,3.5870E-02,1.9976E-01,1.4889,1.1949E-01,0.8643,2.4811E-04,2.6005,4.7954E-01,1.0018
C5orf34,3.6127E-02,2.0023E-01,0.8874,6.0704E-03,0.6741,2.1058E-02,1.5748,5.7358E-01,0.4133
PASK,3.6387E-02,2.0071E-01,1.1741,9.3198E-02,0.5992,1.3062E-05,2.4378,5.0893E-01,0.4853
MC4R,3.6948E-02,2.0174E-01,-1.8678,8.2263E-02,-1.7772,4.7578E-01,-1.1840,4.7177E-02,-2.6423
TMEM106C,3.7410E-02,2.0258E-01,0.6233,1.5614E-01,0.3672,2.4832E-01,0.7273,2.0328E-01,0.7755
EPOR,3.7453E-02,2.0266E-01,0.9313,4.1301E-01,0.3793,3.4880E-02,1.2938,1.6008E-01,1.1208
LAMA4,3.7531E-02,2.0280E-01,-0.9898,6.2397E-03,-0.9682,1.2843E-01,-1.1491,4.7371E-01,-0.8521
FAM111B,3.8147E-02,2.0390E-01,1.5680,1.2822E-02,1.2206,1.4980E-07,2.5843,5.9888E-01,0.8992
RP11-290F20.3,3.9072E-02,2.0553E-01,-1.6408,9.6437E-02,-1.2644,5.0913E-01,-1.2065,1.1029E-02,-2.4515
SSR3,3.9386E-02,2.0608E-01,0.4519,1.8544E-01,0.1896,3.0743E-01,0.3181,1.2538E-01,0.8478
XPNPEP2,4.0014E-02,2.0717E-01,-1.9304,4.6118E-01,-0.7005,5.2770E-02,-2.5947,1.0757E-01,-2.4959
MTHFD2L,4.1826E-02,2.1025E-01,0.6866,7.6368E-02,0.3590,4.1712E-01,0.5596,1.3728E-01,1.1411
IRS2,4.3304E-02,2.1270E-01,-0.7160,9.0119E-02,-0.6398,4.8387E-01,-0.6238,6.4120E-02,-0.8842
SEMA3D,4.3728E-02,2.1339E-01,-1.2348,6.9644E-02,-1.2639,1.0804E-01,-1.4521,4.6249E-01,-0.9885
CCNE2,4.4903E-02,2.1529E-01,1.4624,1.3594E-02,1.2422,6.2546E-07,2.5680,6.3227E-01,0.5770
KIAA1324L,4.5046E-02,2.1552E-01,-2.8446,2.7268E-01,-0.9598,3.7387E-01,-1.7985,8.6744E-24,-5.7755
C21orf58,4.5305E-02,2.1593E-01,0.8530,2.9239E-01,0.4326,1.2391E-07,1.5597,3.5539E-01,0.5668
MT1F,4.6332E-02,2.1755E-01,1.7472,7.2606E-02,1.1697,5.5756E-01,1.4399,2.2482E-02,2.6321
PLEKHO2,4.7566E-02,2.1946E-01,-0.5706,9.0119E-02,-0.4070,2.5801E-01,-0.6390,3.1027E-01,-0.6658
THAP10,4.7645E-02,2.1958E-01,0.6854,2.8191E-01,0.3494,8.4278E-02,1.1474,2.9256E-01,0.5594
ESCO2,4.7729E-02,2.1971E-01,1.4913,2.4561E-02,1.1187,3.6867E-09,2.5993,6.3458E-01,0.7560
CKAP2L,4.7850E-02,2.1990E-01,1.4785,3.4848E-02,0.9247,1.1706E-06,2.7917,6.2485E-01,0.7190
TTK,4.7947E-02,2.2005E-01,1.4717,3.3623E-02,1.0235,9.0754E-07,2.7145,6.2652E-01,0.6773
THRA,4.8045E-02,2.2020E-01,-0.3925,1.7726E-01,-0.2344,1.4057E-01,-0.4920,3.4277E-01,-0.4510
PIEZO2,4.8965E-02,2.2159E-01,2.0048,3.3429E-01,1.2725,1.8774E-01,2.6065,1.4275E-01,2.1354
SKA3,4.9009E-02,2.2166E-01,1.3380,6.2720E-02,0.7935,7.2146E-05,2.4557,6.0219E-01,0.7647
HOXA1,4.9149E-02,2.2187E-01,-1.0026,2.9066E-01,-0.5865,1.8649E-01,-1.2882,1.8846E-01,-1.1331
XRCC2,4.9211E-02,2.2196E-01,1.2395,5.2296E-02,0.7391,3.8838E-06,2.3313,6.1359E-01,0.6482
THRB,4.9410E-02,2.2226E-01,-1.2945,5.9467E-02,-1.0926,5.8320E-01,-0.9659,2.4119E-02,-1.8250
FGF9,4.9610E-02,2.2256E-01,-2.7881,2.0638E-01,-1.5163,4.6131E-01,-1.8654,8.1166E-13,-4.9827
IQCE,4.9913E-02,2.2302E-01,-0.3761,1.5557E-01,-0.2670,1.7686E-01,-0.3444,3.3662E-01,-0.5168
CEP70,4.9939E-02,2.2305E-01,0.6037,1.2943E-01,0.3429,3.2145E-01,0.6556,2.1828E-01,0.8125
HMGN1,4.9981E-02,2.2312E-01,0.4439,1.3039E-01,0.2107,3.0925E-01,0.5029,2.2971E-01,0.6182
SLC41A3,5.1742E-02,2.2571E-01,-0.4006,1.5981E-01,-0.2419,3.2380E-02,-0.6564,4.8493E-01,-0.3034
OSGEPL1,5.2115E-02,2.2625E-01,0.5335,3.3623E-02,0.4623,8.3700E-02,0.6977,5.6142E-01,0.4405
NUF2,5.2459E-02,2.2674E-01,1.4523,3.2693E-02,0.9261,1.0607E-08,2.8971,6.4754E-01,0.5337
MARCH3,5.2528E-02,2.2684E-01,0.7854,3.0887E-01,0.4864,2.0077E-01,0.8759,1.7088E-01,0.9939
CENPA,5.3195E-02,2.2780E-01,1.4444,2.9804E-01,0.6192,1.9780E-06,2.7052,3.8536E-01,1.0088
KIF22,5.5075E-02,2.3045E-01,0.8722,4.0989E-01,0.4130,1.4203E-03,1.5460,2.8005E-01,0.6575
STAT6,5.6874E-02,2.3293E-01,-0.3987,5.4283E-02,-0.2575,3.7497E-01,-0.3325,2.6955E-01,-0.6060
TGFBR2,5.7912E-02,2.3434E-01,-0.6921,2.2839E-01,-0.3862,4.4857E-01,-0.6027,2.6068E-02,-1.0874
TBCK,5.8081E-02,2.3457E-01,-0.5315,4.4783E-01,-0.3100,9.7400E-02,-0.5788,1.5848E-01,-0.7058
DEPDC1B,5.8549E-02,2.3520E-01,1.3214,5.5536E-02,0.8684,6.6183E-04,2.3110,6.4940E-01,0.7846
PCDHGB7,6.0174E-02,2.3736E-01,-1.1384,8.8006E-02,-0.8910,2.8964E-03,-1.8471,6.2116E-01,-0.6771
BICC1,6.0198E-02,2.3739E-01,-0.6918,6.0587E-01,-0.2824,7.0573E-02,-0.8138,3.5719E-02,-0.9793
DUS4L,6.0879E-02,2.3828E-01,0.4993,8.5774E-02,0.4502,4.2400E-01,0.4917,2.0506E-01,0.5559
LRRC15,6.2250E-02,2.4005E-01,-1.2635,5.9430E-02,-0.9644,6.5137E-02,-1.4001,5.9560E-01,-1.4261
CDT1,6.2254E-02,2.4006E-01,1.1178,3.2870E-01,0.6267,7.3790E-03,1.9158,3.8410E-01,0.8109
DDX12P,6.2497E-02,2.4037E-01,1.1935,1.9581E-01,0.5837,7.6619E-04,2.3818,5.2454E-01,0.6148
TMPO-AS1,6.2901E-02,2.4089E-01,1.2675,7.5154E-03,0.9434,1.3498E-03,2.3905,7.1380E-01,0.4687
RP11-492E3.2,6.3491E-02,2.4164E-01,1.3786,1.4758E-01,1.0941,1.9667E-01,1.4618,3.8067E-01,1.5799
UHRF1,6.3864E-02,2.4211E-01,0.9559,1.5647E-01,0.6034,3.3703E-05,1.7103,5.6983E-01,0.5541
CELF2,6.4005E-02,2.4229E-01,-1.4111,6.3677E-01,-0.5242,1.5176E-03,-2.1389,8.8582E-02,-1.5702
SIPA1L3,6.4144E-02,2.4246E-01,0.7049,4.8943E-02,0.5282,4.4115E-01,0.5931,2.3730E-01,0.9932
BRIP1,6.4418E-02,2.4281E-01,1.1841,1.4116E-03,1.0251,4.0047E-10,2.0432,7.2702E-01,0.4839
CDC45,6.4426E-02,2.4282E-01,1.3070,1.1563E-01,0.9166,1.4340E-03,2.3118,6.1139E-01,0.6925
STAMBPL1,6.4441E-02,2.4284E-01,0.6950,1.2880E-01,0.6598,4.1017E-01,0.6164,1.8955E-01,0.8088
C3orf55,6.4458E-02,2.4286E-01,-0.7089,6.2720E-02,-0.6764,1.4923E-01,-0.9005,5.1663E-01,-0.5498
RNF135,6.4724E-02,2.4319E-01,-0.4234,3.8963E-01,-0.1464,6.0670E-02,-0.6359,2.7927E-01,-0.4880
TNKS1BP1,6.5569E-02,2.4425E-01,-0.4670,2.8396E-01,-0.2282,7.2188E-02,-0.6219,3.7659E-01,-0.5507
PLEKHA4,6.5959E-02,2.4473E-01,-0.5895,6.5235E-03,-0.4739,2.2994E-01,-0.4589,4.9772E-01,-0.8357
NEIL3,6.6236E-02,2.4507E-01,1.3162,2.0373E-03,0.9807,2.6594E-05,2.4201,7.3315E-01,0.5477
GAS6-AS2,6.6561E-02,2.4547E-01,-0.5695,2.5651E-01,-0.3456,1.6142E-01,-0.6562,3.1849E-01,-0.7068
DPP4,6.7001E-02,2.4601E-01,-1.2536,6.3406E-01,-0.4658,1.0769E-06,-1.8950,1.0397E-01,-1.3999
FEZ1,6.7200E-02,2.4626E-01,-0.6906,6.6007E-01,-0.2015,4.9609E-04,-1.0560,7.8203E-02,-0.8144
RAB31,6.7391E-02,2.4649E-01,-0.6891,8.3875E-02,-0.4198,6.1521E-01,-0.1893,4.0378E-02,-1.4581
CDCA3,6.7667E-02,2.4682E-01,1.2841,4.5990E-01,0.5839,6.0773E-04,2.5029,2.7996E-01,0.7655
NT5DC2,6.7835E-02,2.4703E-01,0.5086,1.9180E-01,0.3869,4.6539E-01,0.5539,8.3891E-02,0.5850
TMEM206,6.8139E-02,2.4740E-01,0.6042,5.9840E-04,0.4957,3.9095E-01,0.5660,3.5064E-01,0.7509
SNX18,6.8347E-02,2.4765E-01,-0.7002,4.5155E-02,-0.6290,2.6494E-01,-0.7097,4.3286E-01,-0.7620
DDX11,7.0324E-02,2.5001E-01,0.7656,1.6459E-01,0.4951,1.7714E-03,1.2442,5.8368E-01,0.5573
RRM2,7.0498E-02,2.5022E-01,1.4235,6.2720E-02,0.9982,7.3497E-05,2.6500,6.8787E-01,0.6221
CDCA7,7.0631E-02,2.5038E-01,1.7683,1.8577E-01,0.9177,4.3209E-08,3.4031,5.6536E-01,0.9842
ZER1,7.1153E-02,2.5099E-01,-0.3724,1.1309E-02,-0.2801,1.4267E-02,-0.5980,7.2740E-01,-0.2390
E2F2,7.1330E-02,2.5120E-01,1.2822,1.0697E-01,0.9004,6.3158E-03,2.0410,6.4032E-01,0.9050
C5orf38,7.1568E-02,2.5148E-01,-0.5617,3.2693E-02,-0.5077,2.0300E-01,-0.5971,5.1875E-01,-0.5804
DSEL,7.1896E-02,2.5186E-01,-0.6619,2.2733E-01,-0.3276,4.3499E-01,-0.7223,9.3270E-02,-0.9357
FAM109B,7.3552E-02,2.5378E-01,-0.4282,8.7330E-02,-0.3507,1.9891E-01,-0.5056,4.7511E-01,-0.4283
ENPP4,7.4584E-02,2.5496E-01,-1.7168,3.4839E-01,-1.0577,1.0570E-01,-3.3084,3.1080E-01,-0.7842
COMP,7.4986E-02,2.5542E-01,-1.5756,9.2111E-02,-1.1130,6.3270E-01,-0.9751,4.1449E-02,-2.6387
MARCH8,7.5460E-02,2.5596E-01,-0.4919,4.7267E-02,-0.2650,2.9118E-01,-0.5746,4.2943E-01,-0.6361
ACSS1,7.5636E-02,2.5616E-01,-1.0168,5.3407E-05,-1.4082,7.5979E-01,-0.5510,8.6235E-03,-1.0913
SNHG1,7.6091E-02,2.5667E-01,0.6665,1.7447E-01,0.4201,1.8324E-08,1.1319,5.9553E-01,0.4476
FBLN5,7.6129E-02,2.5671E-01,-0.7436,3.0437E-02,-0.6928,3.0865E-10,-1.3622,7.3970E-01,-0.1758
MTSS1L,7.6863E-02,2.5753E-01,-0.6723,2.8787E-01,-0.3772,2.8858E-01,-0.5634,1.9616E-01,-1.0763
CABLES1,7.6976E-02,2.5766E-01,-0.8848,7.2505E-01,-0.1829,4.1081E-02,-0.5451,6.8471E-03,-1.9263
DOK4,7.7390E-02,2.5812E-01,-0.4510,1.5408E-04,-0.5919,1.0027E-01,-0.5028,6.7394E-01,-0.2582
ANP32E,7.7467E-02,2.5821E-01,0.5591,1.1317E-01,0.3739,1.7523E-02,1.0918,6.4392E-01,0.2117
