,CombinedP,AvgAdjP,AvgLogFC,Total_FC_padj,Total_FC_log2FC,Gage_FC_padj,Gage_FC_log2FC,Total_SN_padj,Total_SN_log2FC
HOMER1,6.5320E-22,5.2555E-08,1.5141,1.0241E-13,1.5697,1.2324E-07,2.2074,3.4424E-08,0.7651
CHI3L1,2.5195E-15,8.2420E-06,-2.1276,2.2015E-21,-1.6659,6.7110E-06,-3.1900,1.8015E-05,-1.5267
LGI2,3.4011E-14,1.9625E-05,1.8257,4.0692E-05,1.1106,1.0405E-05,2.4147,7.7771E-06,1.9518
SLC11A1,1.8686E-12,7.4605E-05,-2.4077,1.0086E-05,-2.4902,3.1094E-06,-2.7481,2.1062E-04,-1.9847
KCNA6,4.1075E-12,9.7004E-05,1.7174,9.0436E-06,1.0187,2.3391E-06,3.2410,2.7963E-04,0.8926
C1orf132,6.8955E-12,1.1529E-04,-1.1490,2.8732E-07,-1.0471,1.0669E-04,-1.7199,2.3889E-04,-0.6800
DAB1,9.7696E-12,1.2949E-04,1.2666,1.1917E-10,0.8403,1.5359E-04,1.9051,2.3487E-04,1.0544
SATB1,9.4117E-11,2.7552E-04,1.0466,6.1620E-04,0.5691,1.0585E-04,1.8078,1.0451E-04,0.7628
PID1,1.8198E-10,3.4325E-04,1.0893,2.0811E-06,0.7492,2.4952E-05,1.4689,1.0027E-03,1.0497
RP11-168O16.1,2.5100E-10,3.8208E-04,2.3734,1.2162E-18,2.0007,3.0989E-04,3.8679,8.3635E-04,1.2516
EVA1C,2.9782E-10,4.0449E-04,-1.1078,1.4744E-04,-0.9538,9.0072E-04,-1.4371,1.6533E-04,-0.9326
PDGFRA,6.0129E-10,5.1124E-04,1.3886,5.5933E-15,1.6535,1.5287E-03,1.7111,5.0295E-06,0.8011
DGKB,8.4208E-10,5.7198E-04,1.0749,1.5913E-03,0.5612,1.0088E-05,1.8342,1.1455E-04,0.8292
ANKRD50,1.0986E-09,6.2499E-04,1.0895,2.3371E-04,0.6375,1.4209E-03,1.6979,2.2038E-04,0.9330
TMEM132B,1.3480E-09,6.6909E-04,1.0002,3.8791E-05,0.6040,8.0385E-04,1.2962,1.1646E-03,1.1004
KIF21B,4.2956E-09,9.8462E-04,1.5738,1.2352E-10,1.2522,3.3820E-05,2.5928,2.9200E-03,0.8765
SLC16A2,5.5186E-09,1.0704E-03,0.8378,1.8382E-14,0.8512,3.0535E-03,1.1528,1.5769E-04,0.5093
GALNTL6,7.4939E-09,1.1853E-03,1.5386,3.5427E-10,0.9600,1.1551E-03,2.0249,2.4009E-03,1.6310
AZGP1,2.0535E-08,1.6587E-03,-2.6530,8.8471E-05,-2.0201,4.5758E-08,-4.6533,4.8875E-03,-1.2855
VWA3A,2.1927E-08,1.6953E-03,-1.6219,7.4301E-17,-1.9366,5.4980E-07,-2.1706,5.0855E-03,-0.7584
PDIA6,3.4253E-08,1.9671E-03,0.7339,9.9424E-12,0.6360,2.4721E-03,1.1707,3.4293E-03,0.3952
PCDH10,3.4948E-08,1.9803E-03,0.9750,1.0243E-05,0.6848,5.9296E-03,1.2222,1.1291E-06,1.0181
FKBP5,3.8801E-08,2.0506E-03,-2.8997,2.0920E-05,-2.4727,5.7857E-10,-4.6472,6.1308E-03,-1.5791
TMEM200C,4.6560E-08,2.1790E-03,1.4116,3.3545E-06,0.9569,1.0088E-05,1.9716,6.5237E-03,1.3063
OVGP1,4.9570E-08,2.2250E-03,-1.2707,8.2492E-13,-1.1829,6.6740E-03,-1.5734,1.1291E-06,-1.0558
HSPA8,7.9744E-08,2.6071E-03,0.9425,4.8188E-05,0.7928,4.2195E-03,1.3902,3.5537E-03,0.6444
GPR26,8.5342E-08,2.6668E-03,2.7467,7.3210E-17,2.5308,5.7857E-10,3.5923,8.0003E-03,2.1171
FBLN2,9.1389E-08,2.7283E-03,1.7370,3.5871E-07,2.1581,2.8691E-08,2.0012,8.1845E-03,1.0517
HAPLN1,9.6115E-08,2.7746E-03,1.7612,1.7772E-12,1.3097,1.6010E-03,2.3895,6.7226E-03,1.5843
TUB,1.0105E-07,2.8213E-03,1.0620,4.6618E-03,0.3447,3.7635E-03,1.1680,3.8514E-05,1.6734
SOX4,1.1258E-07,2.9247E-03,1.4939,2.2404E-58,1.8733,5.9397E-04,2.0116,8.1801E-03,0.5968
APC,1.1337E-07,2.9316E-03,1.3730,6.9682E-12,1.0818,2.2449E-06,2.5265,8.7925E-03,0.5108
MN1,1.1787E-07,2.9698E-03,1.1988,3.7330E-14,1.2708,1.2618E-03,1.5878,7.6477E-03,0.7378
C9orf41,1.5057E-07,3.2224E-03,0.8561,3.6377E-08,0.7532,3.2010E-04,1.5158,9.3469E-03,0.2994
TMEM178B,1.8668E-07,3.4617E-03,1.2556,2.5378E-03,0.7577,9.7539E-05,1.9373,7.7498E-03,1.0717
ROBO2,1.9939E-07,3.5386E-03,1.5143,1.4670E-05,0.9257,3.6972E-04,2.3170,1.0231E-02,1.3001
SPCS3,1.9944E-07,3.5389E-03,0.7832,1.5030E-04,0.7136,5.5388E-03,0.8798,4.9276E-03,0.7563
SCUBE1,2.0480E-07,3.5703E-03,2.3605,5.3941E-13,2.1644,2.8693E-03,2.5750,7.8416E-03,2.3420
CDH8,3.4872E-07,4.2634E-03,1.5323,3.5999E-05,1.1829,1.2389E-05,2.4134,1.2742E-02,1.0008
AZIN1,3.6860E-07,4.3429E-03,0.8474,5.5963E-06,0.7918,5.9397E-04,1.4075,1.2429E-02,0.3428
DOK6,3.9570E-07,4.4468E-03,1.6978,1.1754E-08,1.2770,4.6088E-13,2.4016,1.3340E-02,1.4148
SYT17,4.3101E-07,4.5754E-03,0.9992,4.4290E-12,0.7701,7.7576E-03,1.3060,5.9685E-03,0.9216
