,CombinedP,AvgAdjP,AvgLogFC,Total_FC_padj,Total_FC_log2FC,Gage_FC_padj,Gage_FC_log2FC
PTHLH,1.8441E-16,9.6025E-09,2.9045,1.8030E-11,1.4383,1.9187E-08,4.3707
GMPR,3.1429E-16,1.2536E-08,-2.4655,2.5072E-08,-1.6709,1.1723E-17,-3.2602
C1orf95,1.5624E-15,2.7950E-08,2.0598,1.2729E-17,1.3270,5.5899E-08,2.7925
PPP4R4,9.8495E-15,7.0177E-08,2.0732,3.4060E-09,1.1815,1.3695E-07,2.9649
LINC01007,1.4076E-14,8.3894E-08,2.8550,7.4594E-11,2.2338,1.6771E-07,3.4762
RHCG,1.5773E-14,8.8805E-08,-1.8693,5.4370E-08,-0.9741,1.2324E-07,-2.7645
PENK,2.0721E-14,1.0179E-07,3.2318,9.1302E-32,2.7183,2.0357E-07,3.7453
NEURL1B,2.0485E-13,3.2004E-07,1.9464,8.2085E-16,1.4960,6.4008E-07,2.3968
TOX3,3.1718E-13,3.9823E-07,1.9580,7.8828E-07,0.7403,8.1866E-09,3.1756
LINC00643,6.0669E-13,5.5077E-07,3.3639,4.2432E-15,1.8101,1.1015E-06,4.9177
KIAA1239,6.7359E-13,5.8034E-07,2.7894,6.9884E-07,1.6573,4.6184E-07,3.9215
CALB1,9.0335E-13,6.7207E-07,2.8839,5.6959E-14,2.1656,1.3441E-06,3.6022
LPPR5,1.2214E-12,7.8148E-07,1.9597,2.1492E-10,1.2433,1.5627E-06,2.6761
CRH,2.7935E-12,1.1818E-06,2.5121,1.7236E-06,2.2038,6.4008E-07,2.8205
CAMK4,2.9702E-12,1.2186E-06,1.8263,1.1505E-09,1.5763,2.4361E-06,2.0763
RELN,3.2451E-12,1.2738E-06,2.0961,4.3987E-13,1.5773,2.5476E-06,2.6148
SYTL5,3.6701E-12,1.3546E-06,1.5706,2.9773E-07,0.8330,2.4116E-06,2.3082
ARHGAP20,4.6673E-12,1.5276E-06,2.3975,2.4152E-06,1.2356,6.4008E-07,3.5594
C6orf141,4.8434E-12,1.5562E-06,3.6577,5.6306E-21,3.0717,3.1124E-06,4.2436
NPPA,6.1686E-12,1.7562E-06,2.9057,6.6152E-13,2.3465,3.5124E-06,3.4650
NCAM2,1.0588E-11,2.3009E-06,1.1385,2.4859E-06,0.9044,2.1158E-06,1.3726
DYRK2,1.3255E-11,2.5744E-06,1.6963,1.2495E-07,1.0072,5.0239E-06,2.3854
LINC00488,1.3972E-11,2.6431E-06,3.8366,4.5081E-12,2.6337,5.2862E-06,5.0395
INHBA,2.8513E-11,3.7758E-06,2.5797,2.0367E-11,1.9552,7.5515E-06,3.2042
CTC-471C19.1,7.2505E-11,6.0210E-06,2.2372,5.3387E-07,1.4504,1.1508E-05,3.0241
KIT,7.4804E-11,6.1157E-06,1.4613,7.4624E-06,0.7569,4.7690E-06,2.1657
DACT1,7.7914E-11,6.2416E-06,1.9158,3.0433E-09,0.9735,1.2480E-05,2.8581
DR1,8.7013E-11,6.5959E-06,1.1698,1.8910E-07,0.6691,1.3003E-05,1.6705
PRKG2,1.0809E-10,7.3516E-06,2.4948,1.9088E-20,1.3599,1.4703E-05,3.6297
GRIK1,1.1748E-10,7.6643E-06,1.4176,5.4020E-07,0.8896,1.4788E-05,1.9456
C8orf34,1.2437E-10,7.8857E-06,2.3527,1.9696E-17,1.4897,1.5771E-05,3.2158
