,pvalue,padj,log2FoldChange
CYP2S1,1.6998E-11,5.5670E-08,2.4579
AC007106.1,3.9256E-09,3.7813E-06,-2.9839
GPR161,3.2736E-08,1.7346E-05,1.6831
RP11-421L10.1,3.2839E-08,1.7346E-05,-2.2510
ATP2A3,3.6932E-08,1.8015E-05,2.2895
MYO1A,3.7405E-08,1.8015E-05,-3.5078
PMFBP1,4.2524E-08,1.9895E-05,-1.2745
RP11-373E16.4,5.3243E-08,2.4218E-05,-1.6866
MDFI,7.8253E-08,3.0415E-05,2.0783
ADAM1A,7.8703E-08,3.0415E-05,-0.6879
ANKK1,8.1727E-08,3.0415E-05,2.2196
EOGT,1.4623E-07,4.6911E-05,-0.6112
BCL11B,1.8033E-07,5.4683E-05,1.1950
ANXA13,2.6524E-07,7.7560E-05,-1.6181
EIF6,7.2242E-07,1.8199E-04,0.6005
INTU,8.5374E-07,2.1062E-04,-0.6377
FENDRR,9.7096E-07,2.2083E-04,-1.6614
CYP2E1,1.4272E-06,2.8500E-04,-0.7293
RSPO2,1.7212E-06,3.3957E-04,2.3301
CNIH3,1.8551E-06,3.5321E-04,0.9154
WI2-81516E3.1,1.9374E-06,3.6052E-04,-1.2312
ACSL5,2.4184E-06,4.2581E-04,-1.0263
FST,2.9453E-06,5.0768E-04,2.8248
ELTD1,3.3049E-06,5.5222E-04,-1.1423
MICAL2,3.3847E-06,5.5984E-04,-0.6473
DRP2,4.1043E-06,6.4008E-04,1.4144
ELOVL7,5.5546E-06,8.3447E-04,-0.8213
DCDC1,6.4308E-06,9.0568E-04,-0.9596
SDC1,7.0677E-06,9.7244E-04,2.9649
NTN1,7.4470E-06,9.9955E-04,1.5046
COPS6,7.7569E-06,1.0027E-03,0.3340
SYTL3,7.8380E-06,1.0027E-03,-1.1148
ANK1,9.7814E-06,1.1607E-03,1.8746
C5orf34,1.0932E-05,1.2431E-03,-0.7514
RP11-499P20.2,1.1627E-05,1.2936E-03,-0.5908
SEMA6D,1.1712E-05,1.2936E-03,0.7511
FOXN3,1.1771E-05,1.2936E-03,0.2771
CYSLTR2,1.2934E-05,1.3934E-03,-1.0197
CAV2,1.3510E-05,1.4459E-03,-1.0566
PYGL,1.5599E-05,1.5990E-03,1.3616
GPNMB,1.5974E-05,1.6147E-03,-1.7877
AHCYL2,1.7353E-05,1.7221E-03,0.4257
ANGPT2,1.7731E-05,1.7386E-03,-1.0739
RP11-363E7.4,1.8085E-05,1.7523E-03,-0.7870
TRPV6,1.8582E-05,1.7899E-03,-1.9335
CPLX2,2.1407E-05,1.9436E-03,1.9258
CTD-2341M24.1,2.1484E-05,1.9436E-03,-0.8433
NANOS3,2.2077E-05,1.9647E-03,0.7403
NTSR1,2.3454E-05,2.0108E-03,3.0364
YIF1B,2.4152E-05,2.0599E-03,0.5863
CD2BP2,2.5037E-05,2.1025E-03,0.2776
ACER2,2.7564E-05,2.2344E-03,-0.8499
TMEM255A,2.8156E-05,2.2601E-03,1.5268
GJC1,2.8607E-05,2.2851E-03,-0.9204
COL3A1,3.1985E-05,2.4026E-03,2.0174
