"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","036_iF_Y","652_iF_Y","864_iF_Y","204_iF_O","680_iF_O","706_iF_O"
"DSC3",1047.06637730813,-3.66615135364115,0.519780141582671,-7.05327322140114,1.7475722312592e-12,2.58728068837924e-08,119.479662580995,147.271396671346,191.905748442531,3312.65663741118,902.80810536708,1608.27671337567
"PDE10A",267.902652475492,5.11799242984399,0.79299624522643,6.45399327002187,1.089406503726e-10,8.06433164383171e-07,397.189148580063,226.417249304246,938.755439546198,2.85164129475855,20.4549725211903,21.7474636064965
"PRTFDC1",243.130945080952,-1.46912123873029,0.233761674867273,-6.28469675178551,3.28494267221821e-10,1.62111920873969e-06,145.313103139047,121.223394538999,120.682996443241,376.416650908128,316.122302600214,379.027222856082
"SHISA2",1210.78375786422,-3.25323665586461,0.540764292279226,-6.01599754701405,1.78782278179925e-09,6.61717907113449e-06,138.854742999534,121.223394538999,429.314921773498,2031.31914896634,1866.98112829773,2677.00921060921
"SVEP1",440.816152430639,2.92773514426203,0.512563585784023,5.71194525998902,1.11692018746629e-08,3.3072006750877e-05,881.566159043555,547.008044779285,909.079292879827,164.444647997743,46.4885739117961,96.3101959716274
"FBLN5",333.165010051041,1.78034000199748,0.318519928365353,5.58941480093318,2.27836118278631e-08,5.62185621852522e-05,468.231110114708,432.797573891302,646.939997326885,143.53261183618,119.010749214198,188.47801792297
"GALNT14",104.943781897438,-4.41449148981299,0.810358148832356,-5.44758079643406,5.10595233774775e-08,0.000107990891943365,4.30557342634215,5.00923117929748,18.7948928887015,366.9111799256,94.836690780064,139.80512318462
"MLPH",2167.04469554614,-1.42230523809474,0.263154642779161,-5.4048266945772,6.48710847360517e-08,0.000120052051189656,1492.95758558414,922.700383226596,1117.8015244333,3241.36560504222,3444.80332686409,2782.63974812648
"PTPRB",1228.23185603631,-2.63580078791294,0.504662085853327,-5.22290233762281,1.7614029971624e-07,0.000289750793033215,224.966211526377,388.716339513484,407.55241421816,910.62412012623,2960.39238670318,2477.13966413046
"PLAC8",1171.72892868239,10.8264016566569,2.10073811135361,5.15361795844267,2.55508225329239e-07,0.000378279927599939,6503.56866048981,520.960042646938,1.97840977775806,1.9010941965057,0.929771478235922,1.03559350507126
"MFSD6",257.980067516107,1.26348738095034,0.246522155792459,5.12524879108245,2.97145110462086e-07,0.000399930305490108,299.237353130779,400.738494343798,392.714340884974,164.444647997743,147.833665039512,142.911903699834
"MAGI1",1149.88313188918,0.897897494519455,0.182182415133115,4.92856291241606,8.28366612769838e-07,0.00102199730850479,1429.45037754559,1450.67334952455,1609.43635420618,701.503758510603,841.443187803509,866.791763744647
