"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","036_pF","348_pF","652_pF","864_pF","204_pF","680_pF","706_pF","731_pF"
"NETO2",93.4875021601501,3.41085895018599,0.309435481487881,11.0228437081142,2.96540116564189e-28,4.18062256332194e-24,124.496282448006,179.224557832687,160.137844804457,219.69611324298,17.5716976734585,14.0818780251487,16.4564498312594,16.235193423204
"RANBP17",152.530921625457,2.47321305437239,0.242916532579223,10.1813286568538,2.40258218050388e-24,1.69358017903719e-20,260.912421726141,257.449641085628,251.77227822034,264.057828417043,39.7675263136166,36.6128828653867,67.6542937507331,42.0205006247632
"CADPS",108.614235708051,-6.02129965070874,0.794756942814982,-7.57627813779349,3.55609012094148e-14,1.67112528416777e-10,2.64885707336184,0,7.11723754686474,3.16869394100452,443.916572803162,226.248840270723,52.1120911323215,133.701592896974
"HIST1H2BH",1440.70359854265,3.94302152343878,0.586906781620882,6.71830969911302,1.83844634436084e-11,6.47960414069978e-08,4680.53044863036,2353.68383407899,2773.94333389053,1013.98206112145,79.5350526272331,144.57394772486,407.754256930094,71.6258533376646
"RP11-423H2.1",124.211033638172,1.76422372188551,0.284633412413558,6.1982312860803,5.71011904540387e-10,1.61002516604207e-06,207.935280258904,214.871431213774,199.282651312213,145.759921286208,60.1137025670948,58.2050958372815,73.1397770278196,34.380409602079
"FGF13",120.18140068322,-4.65175068159336,0.809818360807026,-5.74419018723859,9.23619321223247e-09,2.17019753176755e-05,0,20.7940094723007,7.11723754686474,8.44985050934539,92.482619333992,66.6542226523707,491.865000512087,274.088265438796
"HSPB7",6761.64721365963,-2.23797956149017,0.395474481445329,-5.65897337626207,1.52281174177455e-08,2.90319132520038e-05,2319.07436772829,1825.91206985345,1638.74394516561,3677.79743419258,9437.85130303388,5421.52303968227,10970.9665541729,18801.308995448
"GJD2",76.6731521234597,-3.32420738230461,0.588828792319348,-5.64545658375642,1.64743443052937e-08,2.90319132520038e-05,17.2175709768519,5.94114556351449,10.6758563202971,22.1808575870316,68.4371383071541,97.634354307698,91.4247212847745,299.873572640356
"PDE5A",966.615046802136,-1.90149458283148,0.340496322026795,-5.58447906724186,2.34401747038998e-08,3.5940031334403e-05,655.592125657054,264.380977576395,422.585979345094,291.519842572416,1808.96003417288,1204.46996708439,1975.68822696398,1109.72322104488
"SMOX",380.440033194205,1.19244733205355,0.214730027890567,5.55323977632627,2.80422999488178e-08,3.5940031334403e-05,523.149271988962,627.781047878031,525.785923774633,440.448457799628,273.748553228616,246.902261374275,239.532769766109,166.171979743382
"GPC4",519.390934488097,-2.86610361707855,0.516087670748328,-5.55352080572414,2.79972324086245e-08,3.5940031334403e-05,141.713853424858,124.764056833804,151.241297870876,83.4422737797857,1576.82865964456,966.016832525204,182.849442569549,928.271059256133
"AR",85.9410988416441,-2.37128436389855,0.437959275960889,-5.41439465734782,6.14963946759639e-08,6.84918305803941e-05,11.9198568301283,47.5291645081159,25.7999861073847,25.3495515280362,182.190760087964,187.75837366865,91.4247212847745,115.556376718099
"MRVI1",1158.59503748963,-3.04124040976405,0.563575119116909,-5.39633547792086,6.80157205366376e-08,6.84918305803941e-05,488.714130035259,296.067087248472,138.786132163863,81.3298111524493,3582.77667299885,1159.40795740391,1015.72865347384,2505.94985544042
"HDAC9",938.159743782795,-2.53732749790693,0.469475740732516,-5.40459767728994,6.49540199585704e-08,6.84918305803941e-05,303.29413489993,209.920476577512,274.013645554293,315.813162786784,2123.40093990846,932.220325264847,508.321450343346,2838.29381492719
"FABP3",106.312887282128,-2.47424380800639,0.464310670169484,-5.32885407760118,9.88343621900533e-08,9.28911225436914e-05,25.1641421969374,26.7351550358152,43.5930799745466,33.7994020373815,155.370800481107,89.1852274926087,126.166115372989,350.489175665639
"OLR1",42.3163478143969,-2.53505068215414,0.477092923016434,-5.31353654572407,1.07517860667978e-07,9.47366749810717e-05,10.5954282934473,10.8921001997766,5.33792816014856,23.2370889006998,68.4371383071541,52.572344627222,99.6529462004042,67.8058078263225
"ZNF704",51.6668618401319,-4.56595316620267,0.865046368048916,-5.27827563336406,1.30405209041581e-07,0.000107359405787084,1.32442853668092,1.98038185450483,1.77930938671619,11.6185444503499,64.7378335337944,204.656627298828,16.4564498312594,110.781319828921
"C16orf74",113.694064255095,1.94184698838857,0.368532953949778,5.26912713660119,1.37074003700349e-07,0.000107359405787084,231.774993919161,201.998949159493,193.055068458706,95.0608182301356,45.3164834736561,46.0008015488192,66.7400465378854,29.6053527129014
"SORBS1",146.142936799209,-4.57930887014443,0.883887979209065,-5.18087017570049,2.20853169988008e-07,0.000163873052131102,9.27099975676642,14.8528639087862,8.00689224022284,14.7872383913544,536.399192137154,28.1637560502975,22.8561803211936,534.806371587895
"HIST1H4F",1232.24926132023,2.79093881650623,0.543266833592803,5.13732597671908,2.78675324205518e-07,0.000195563866711267,3620.98761928563,1569.45261969508,2059.55061512399,1363.59462594561,96.1819241073517,193.391124878709,689.3423984872,265.493163038277
"MLPH",196.231026075654,2.94228753031436,0.573658692091797,5.1289862262621,2.91306653492453e-07,0.000195563866711267,124.496282448006,405.97828017349,124.551657070133,734.08076299938,61.9633549537746,27.2249641819542,45.7123606423872,45.8405461361053
"HIST3H2BB",73.8934590408187,2.75556804201013,0.540391047855882,5.09921112302551,3.41071962337765e-07,0.000218565114774446,222.503994162394,119.813102197542,120.993038296701,51.7553343697405,16.6468714801186,24.4085885769245,28.3416635982801,6.68507964484869
"OSR2",202.849920097721,-2.43321211409802,0.479515766749789,-5.07431096706289,3.88902621114686e-07,0.000238380397933689,60.9237126873222,25.7449641085628,103.199944429539,63.3738788200904,168.318367187865,234.697967085812,533.920372303083,432.620154159494
"DLST",2808.34130216442,0.51188322478337,0.103091376046611,4.96533506888037,6.85825565700915e-07,0.000402865367718813,3291.20491365208,3534.98161029112,3068.41903739206,3311.28516834972,2186.28912105557,2303.79524491434,2473.952957966,2296.80236369444
"ADD3",3467.54920383375,-1.148970814171,0.233179504649544,-4.9274091044058,8.3327166250525e-07,0.00046989855591996,1908.5015213572,1851.65703396202,2828.21227018538,2032.18904749757,4870.13473412802,5962.26715584798,3366.2582377054,4921.17362998647
"UPP1",438.051040392081,1.14204729788914,0.232154411949703,4.91934350201611,8.68349639108525e-07,0.000470845892775076,602.614984189818,774.329305111389,486.641117266877,548.184051793782,354.208432049189,277.882393029602,230.390297637632,230.157742058362
"ISM1",30.8668123163986,-4.74192915001939,0.965863630294468,-4.90952242251186,9.12984608660933e-07,0.000476713222700068,0,1.98038185450483,4.44827346679047,2.11246262733635,87.8584883672924,7.510334946746,26.5131691725846,116.511388095934
"ASPN",285.60509794185,-2.39647615879268,0.48969274292949,-4.89383637677828,9.88890652048212e-07,0.000497906443306275,91.3855690309833,111.891574779523,132.558549310356,28.5182454690407,547.497106457233,580.173374636128,189.249173059483,603.567190792053
"PLAUR",2124.36451809978,1.23560059003065,0.253868160850259,4.86709552664014,1.13250296289161e-06,0.000550552647270547,3246.17434340493,3680.53967659723,2333.56426067828,2669.09652963947,981.240591133655,1398.79988383144,1713.29927687667,972.201582636567
"FILIP1L",1199.2700217591,-1.27345139867886,0.262256627290508,-4.85574535078661,1.19934750050075e-06,0.000563613368735317,573.477556382837,959.49500850759,820.261627276162,453.123233563646,1810.80968655956,1854.11393997792,1392.39850516712,1730.48061663798
"MAP1B",20068.8538284698,-0.762431211895842,0.157935619896397,-4.827481048265,1.38270842482144e-06,0.000598365906185573,14445.5420495788,13071.5104306591,17956.7903307398,14069.0010980601,24638.2946167688,26040.2088441051,21945.5900971973,28383.8931606497
"METTL24",24.5612235592531,-5.53090354276841,1.14438387051796,-4.83308414707476,1.34433929465768e-06,0.000598365906185573,1.32442853668092,0,1.77930938671619,1.05623131366817,59.1888763737549,20.6534211035515,4.57123606423872,107.916285695415
"LINC00607",122.639902453449,-2.24296292803047,0.464870967420018,-4.82491505218892,1.40062951511731e-06,0.000598365906185573,34.4351419537039,26.7351550358152,51.5999722147694,58.0927222517495,200.687283954763,107.961064859474,123.423373734446,378.184505622869
"PCDH18",13387.0725192119,-1.35944700778305,0.282282720461931,-4.81590586047362,1.4653359904591e-06,0.00060759725863213,6645.98239706484,6579.8187115923,11715.8626568327,5091.03493188059,21693.6480171745,22425.8601509836,15586.0864846284,17358.2868035386
"ASAP3",889.641179269517,-0.944218630600266,0.200332277625929,-4.71326259447498,2.43781710320583e-06,0.000981952729171309,499.309558328706,599.065510987711,715.282373459907,618.951549809549,1331.74971840948,1351.86029041428,895.96226859079,1104.94816415571
"SFRP1",1557.77873550961,-3.11353325490066,0.66436165768336,-4.68650353146146,2.77912026315285e-06,0.00108833437416469,22.5152851235756,223.783149559046,500.875592360606,542.902895225441,1882.02130344674,3766.43297579312,3450.36898128739,2073.32970128093
"CMTM7",195.882455196305,0.991074957716909,0.212472994640836,4.66447493429563,3.09406041649444e-06,0.00117892064193888,296.671992216526,288.145559830453,243.765385980118,214.414956674639,131.325319454269,126.736902226339,159.993262248355,106.006262939744
"SLC25A29",90.96494405023,1.00167494354211,0.215343012045006,4.65153214877834,3.2947789698474e-06,0.00122236299781339,124.496282448006,131.695393324571,112.09649136312,117.241675817167,57.339223987075,63.837847047341,70.3970353892764,50.615603025283
"TRMT13",193.044580863788,-0.950623055615831,0.204907320209902,-4.63928304094766,3.49619953834795e-06,0.00126383131004178,127.145139521368,118.82291127029,131.668894616998,148.928615227212,319.989862895612,246.902261374275,211.191106167829,239.707855836717
"SESN1",470.689493355151,-1.03767805251786,0.224655912199537,-4.61896614408353,3.85656769975281e-06,0.00126441607979337,241.045993675927,281.214223339686,318.496380222197,391.861817370892,778.703654792213,569.846664084353,511.064191981889,673.283021374047
"ANP32B",672.392906949881,0.630103736130659,0.136098837414467,4.62975105519661,3.66105608174474e-06,0.00126441607979337,798.630407618593,771.358732329631,827.378864823027,870.334602462575,484.608925310118,598.949212002993,550.376822134342,477.505688917764
"SYNE3",303.942318569747,0.718817628637266,0.155557450347683,4.62091418334932,3.82052795948647e-06,0.00126441607979337,333.755991243591,404.988089246238,383.441172837338,389.749354743556,257.101681748498,199.962667957112,228.561803211936,233.977787569704
"GPRASP2",360.117486776086,-0.727710174762277,0.157379809336425,-4.62391063904949,3.76572146320979e-06,0.00126441607979337,262.236850262822,273.292695921667,278.461919021083,270.395216299052,444.841398996502,370.822787995584,511.978439194737,468.910586517244
"ARHGEF37",97.9312692034268,-3.42400166811996,0.748419576329081,-4.57497609150515,4.76274372744234e-06,0.00152602638794278,17.2175709768519,14.8528639087862,11.5655110136552,23.2370889006998,156.295626674446,60.082679573968,26.5131691725846,473.685643406422
"ALDH6A1",620.986598695682,-0.67454551783574,0.148013066635406,-4.55733762680099,5.18061118050833e-06,0.00162302792050681,396.004132467594,494.105272698955,505.323865827397,516.497112383737,762.981609505434,826.13684414206,686.599656848656,780.244295691626
"TBC1D8B",373.131217066622,-0.843297286521014,0.186244699334347,-4.52789952967803,5.95728926425923e-06,0.00181918260829559,218.530708552351,240.616395322337,289.13777534138,318.981856727788,528.075756397094,483.477812196774,408.668504142942,497.56092785231
"PHACTR3",77.1291556896938,-4.56312326726857,1.01059257910168,-4.51529465150511,6.32287897620117e-06,0.00181918260829559,1.32442853668092,1.98038185450483,2.66896408007428,19.0121636460271,95.2570979140118,29.1025479186407,27.4274163854323,440.260245182178
"CDCA7",100.996910431421,2.38736382393709,0.528319657910154,4.51878666294693,6.2195023557051e-06,0.00181918260829559,201.313137575499,211.900858432017,191.27575907199,73.9361919567721,41.6171787002964,27.2249641819542,52.1120911323215,8.59510240051975
"NAP1L3",189.329110549367,-1.01226908450879,0.223799867611491,-4.52309956798568,6.0940554452644e-06,0.00181918260829559,113.900854154559,128.724820542814,109.427527283045,149.984846540881,302.418165222154,221.554880929007,286.159377621344,202.462412101132
"RP11-400K9.4",73.8132767821977,-1.87769192402126,0.421448066141903,-4.45533406099208,8.37626630615088e-06,0.0023617720476823,29.1374278069802,24.7547731813104,43.5930799745466,28.5182454690407,181.265933894624,105.144689254444,53.9405855580169,124.151479118619
"RAB32",2673.71997673387,0.812587015673147,0.183311583954832,4.43281869122558,9.3009076874737e-06,0.00257106267800008,4430.21345519767,3259.70853251495,2856.68122037284,3084.19543591107,1740.52289586573,1871.95098547644,1995.80166564663,2150.68562288561
"HIST1H4I",284.171513137323,2.65485485885853,0.603536595399811,4.39882996175208,1.08836055933271e-05,0.00294937626689356,707.24483858761,563.418637606624,561.372111508957,129.916451581185,31.4440905735573,96.6955624393547,151.765037332726,31.5153754685724
"DDR1",394.414685095853,-1.11852308126445,0.254511032614796,-4.39479212265559,1.10878807026074e-05,0.00294937626689356,238.397136602565,241.606586249589,233.979184353178,280.957529435734,676.047947331482,457.191639883163,352.89942415923,674.238032751883
