No.,pert_id,sample_id,L1(AgingScore),L2(AgingScore),L6(AgingScore),L7(AgingScore),L1(matchGenes),L2(matchGenes),L6(matchGenes),L7(matchGenes)
1,LUNG001_1HAE_24H:BRD-K02130563:10,L02,0.138914981,0.973610014,-0.44252166,-0.469715802,48,60,47,38
1,LUNG001_1HAE_24H:BRD-K02130563:10,C24,-0.130387209,0.815501267,-0.254107413,-0.692118812,49,65,48,42
1,LUNG001_1HAE_24H:BRD-K02130563:10,G02,-0.506430346,0.674939485,-0.33297482,-0.444234183,43,57,45,46
1,LUNG001_1HAE_24H:BRD-K02130563:10,D24,0.066411362,0.37153758,-0.357159399,-0.395701843,52,63,48,46
1,LUNG001_1HAE_24H:BRD-K02130563:10,N02,-0.366880897,0.919430478,-0.375482243,-0.46799913,49,57,50,42
1,LUNG001_1HAE_24H:BRD-K02130563:10,D02,-0.191517278,0.679762948,-0.470919588,-0.720111103,49,61,48,44
1,LUNG001_1HAE_24H:BRD-K02130563:10,C02,-0.234378457,0.840014898,-0.306914783,-0.398648602,47,60,51,44
1,LUNG001_1HAE_24H:BRD-K02130563:10,O02,0.022033128,0.585773749,-0.224978144,-0.435491998,51,54,52,43
1,LUNG001_1HAE_24H:BRD-K02130563:10,H02,-0.673132108,0.63477448,-0.527010176,-0.645891356,40,61,44,41
1,LUNG001_1HAE_24H:BRD-K02130563:10,M24,0.122557442,0.968547504,-0.150423211,-0.552745553,52,63,51,44
1,LUNG001_1HAE_24H:BRD-K02130563:10,I02,-0.177548587,0.793477431,-0.450489588,-0.796852435,45,57,49,40
1,LUNG001_1HAE_24H:BRD-K02130563:10,J02,-0.195017815,1.182778055,-0.37626317,-0.636311152,47,63,45,41
1,LUNG001_1HAE_24H:BRD-K02130563:10,H24,-0.286251999,0.633468361,-0.310811023,-0.708229257,47,59,43,39
1,LUNG001_1HAE_24H:BRD-K02130563:10,I24,-0.312105135,0.583637262,-0.576180941,-0.756246634,49,59,43,39
1,LUNG001_1HAE_24H:BRD-K02130563:10,K24,-0.011151736,0.900770493,-0.382064742,-0.542948221,50,60,46,41
1,LUNG001_1HAE_24H:BRD-K02130563:10,J24,-0.166769394,0.840183554,-0.339728731,-0.429626332,46,63,46,46
1,LUNG001_1HAE_24H:BRD-K02130563:10,G24,0.063401481,0.8645217,-0.284881087,-0.431474996,52,66,45,43
1,LUNG001_1HAE_24H:BRD-K02130563:10,L24,-0.133193746,0.66682035,-0.339955465,-0.568429359,49,61,46,39
1,LUNG001_1HAE_24H:BRD-K02130563:10,N24,0.009596594,0.814755251,-0.336403817,-0.364056643,53,61,49,48
