,H9_DMSO_2,H9_AGK2_2,H9_FLUD_2,H9_DMSO_3,H9_DMSO_1,H9_VINO_1,H9_FLUD_1,H9_FLUD_3,H9_AGK2_1,H9_AGK2_3,H9_VINO_3,H9_VINO_2
XX-FW83128A1.2,0,0,0,0,0,0,0,0,0,0,0,0
RP11-329E24.6,0,1,1,0,0,2,2,0,3,1,2,3
AC097468.7,11,14,18,10,12,14,10,12,15,16,11,15
AC097468.4,0,0,0,0,0,0,0,0,0,0,0,0
RP4-737E23.2,0,0,0,0,0,0,0,0,0,0,0,0
RP11-215E13.1,8,8,15,2,13,14,20,6,13,7,1,7
RP11-215E13.2,0,1,1,0,0,3,1,0,1,0,0,0
RNF219-AS1,0,2,5,1,0,2,1,3,2,1,1,4
PIP5KL1,181,137,175,184,199,188,208,295,171,313,206,217
BTBD1,9123,7854,10201,8333,9288,8466,9234,9392,9368,10715,7288,9607
RN7SL623P,0,0,0,0,0,0,0,0,0,0,0,0
BTBD2,4880,4023,4891,3937,5268,5453,5241,5399,5152,5012,3917,5762
BTBD3,11579,10089,11890,11545,10582,9523,9789,11802,11434,14217,9057,11458
BARHL1,2,2,4,5,1,1,4,3,6,2,6,0
BARHL2,2084,1716,1924,7139,1562,1551,1406,7633,1544,8839,7542,2553
BTBD7,1982,1553,2024,1733,1717,1717,1650,2022,1833,2056,1685,2088
BTBD6,2820,2234,2825,2639,2820,2641,2744,3350,2834,3087,2161,3068
BTBD9,4298,3758,4735,4795,4493,4124,4451,5726,4615,5871,4125,4589
OR1S2,0,0,0,0,0,0,0,0,0,0,0,0
BTBD8,36,44,45,36,49,61,46,40,58,32,36,56
OR1S1,0,0,0,0,0,0,0,0,0,0,0,0
AP001094.1,0,0,0,0,3,1,0,0,0,0,0,0
RN7SL624P,0,0,0,0,1,0,0,0,0,1,0,0
RP11-431M3.2,0,0,0,0,0,0,0,0,0,0,0,0
NCR3LG1,2136,1869,2392,3443,2368,1890,2215,3519,2243,4017,2186,1994
RP11-431M3.1,3,2,4,2,3,1,1,1,1,0,0,2
RALGPS2,2090,1649,2274,2250,2232,1917,1984,2619,2167,2777,2028,2402
RP3-446N13.1,0,0,0,0,0,0,0,0,0,0,0,0
RALGPS1,8118,6794,9107,9708,8362,7816,7960,10954,8306,11099,8823,9322
OR1P1,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL621P,0,1,0,0,0,0,0,1,1,0,0,0
RP11-272B17.1,0,0,0,0,0,0,0,0,0,0,0,0
T,0,2,0,0,0,0,0,1,0,2,0,1
RP11-272B17.2,0,0,0,0,0,0,0,0,0,0,0,0
RP11-634B22.4,6,6,3,6,3,3,1,2,1,4,1,1
AC103828.1,0,0,1,0,1,0,0,1,0,0,0,0
PPAPDC1B,1745,1338,1806,1327,1597,1444,1588,1542,1437,1589,1161,1719
OR1Q1,5,0,0,0,1,0,0,0,2,0,0,0
PPAPDC1A,51,41,52,281,49,44,33,299,52,343,264,74
SULT6B1,1,0,0,1,0,1,0,0,0,0,0,0
UBTFL3,0,0,0,0,0,0,0,0,0,0,0,0
UBTFL2,0,0,0,0,0,0,0,0,0,0,0,0
UBTFL1,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL622P,0,0,0,0,0,0,0,0,0,0,0,0
OR2R1P,0,0,0,0,0,0,0,0,0,0,0,0
AC093609.1,0,0,0,0,0,0,1,2,0,0,0,0
UBTFL8,0,0,0,1,0,0,0,0,0,0,0,0
ACAD11,10,12,10,10,9,4,6,9,5,12,2,9
UBTFL7,0,0,0,0,0,0,0,0,0,1,0,0
ACAD10,883,691,867,739,832,766,866,833,805,905,670,900
UBTFL6,1,0,2,1,0,0,0,2,2,1,0,0
SPATA6L,464,344,427,271,430,398,385,298,431,371,325,555
UBTFL5,0,0,0,0,0,0,0,0,0,0,0,0
CTA-85E5.10,9,5,9,1,4,5,5,9,3,7,0,8
BCKDK,1432,1198,1382,1347,1575,1402,1472,1665,1502,1573,1114,1550
CYP2G1P,2,3,2,6,2,6,3,6,6,1,1,3
AC092287.1,0,0,0,0,0,0,0,0,0,0,0,0
AC073094.4,0,0,0,2,1,0,4,5,0,0,1,0
RP11-834C11.14,0,0,0,0,0,0,0,0,0,0,0,0
GRTP1-AS1,0,0,0,0,0,0,0,0,0,0,0,0
RP11-834C11.10,0,0,0,0,1,0,0,0,0,2,1,0
RP11-834C11.11,0,2,1,4,3,0,0,0,0,0,5,2
RP11-834C11.12,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL627P,0,0,0,0,0,0,0,0,0,0,0,0
AL158111.1,0,0,0,0,0,0,0,0,0,0,0,0
AIFM3,13,3,6,6,7,9,18,8,8,3,7,13
RP11-463D19.2,0,0,0,0,0,0,0,0,0,0,0,0
AIFM2,128,103,149,147,147,113,109,178,126,147,115,165
AIFM1,1866,1717,2030,1716,1850,1665,1975,1995,1819,1977,1387,2008
RP11-463D19.1,3,2,1,1,2,3,0,1,0,2,0,4
RP11-231K24.2,0,0,1,0,0,3,1,0,0,0,0,2
DUXAP10,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A39P2,0,0,0,0,2,0,0,0,0,0,0,0
SLC25A39P1,2,0,4,1,7,0,5,3,2,0,2,6
RN7SL628P,0,3,0,0,1,1,0,0,0,0,0,0
AC020595.1,0,0,0,0,0,0,0,0,0,0,0,0
MDS2,0,0,0,2,0,0,0,0,0,0,0,0
RP11-563H6.1,9,9,10,5,10,6,14,5,5,6,10,6
ATP5J2-PTCD1,1,1,0,0,0,1,0,0,2,0,0,1
RP1-76B20.12,0,0,0,0,0,0,0,0,0,0,0,0
RP11-876F14.2,0,0,0,0,0,0,0,0,0,0,0,0
RP11-876F14.1,0,0,0,0,0,0,0,0,0,0,0,0
SPATA41,14,13,12,9,17,10,17,10,9,11,16,8
RP1-76B20.11,1,5,2,3,0,1,1,5,1,1,0,1
RN7SL625P,0,0,0,0,0,0,0,0,0,0,0,0
SPATA42,0,0,0,0,0,0,0,0,0,1,0,0
SPATA33,701,599,793,657,677,685,685,814,694,823,665,804
SPATA32,3,8,6,5,1,1,1,10,4,3,2,2
RP11-476D10.1,0,0,0,0,0,0,0,0,0,0,0,1
AC013727.1,0,0,0,0,0,0,0,0,0,0,1,0
AC004471.9,12,8,12,9,10,7,10,3,10,8,8,12
RP11-276E17.2,0,0,0,0,0,0,0,0,0,0,0,0
RP11-256P1.1,0,0,0,0,0,0,0,0,0,0,0,0
RP11-342D11.2,1,0,0,3,1,2,1,5,2,2,0,4
AC013727.2,0,0,0,0,0,0,0,0,0,0,0,0
RP11-342D11.3,0,0,0,0,0,0,1,0,0,2,0,0
SPATA2L,1016,864,1026,1084,1117,1108,1107,1496,1163,1566,947,1119
CTD-2306M10.1,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL626P,0,0,0,0,0,0,0,0,0,0,0,0
SPATA20,1510,1089,1516,1133,1451,1433,1427,1405,1406,1252,1032,1656
AL050303.7,0,0,0,0,0,0,0,0,0,0,0,0
OR1J2,0,0,0,0,0,0,0,0,0,0,0,0
AL050303.1,0,0,0,0,0,0,0,0,0,0,0,0
OR1J1,0,2,0,0,0,0,0,0,0,0,0,0
OR1J4,0,0,0,0,0,0,0,0,0,0,0,0
CTNNBL1,1715,1350,1781,1260,1629,1510,1585,1449,1468,1448,1168,1869
IL6RP1,0,0,0,0,0,0,0,0,0,0,0,0
NUDCD3,9004,7878,9586,8643,9325,9125,9243,9960,9709,9370,8098,10429
NUDCD2,965,743,1055,800,915,781,869,906,888,920,743,1109
RP11-263E1.1,0,0,0,0,0,0,0,4,1,1,3,0
NUDCD1,1217,1046,1366,1117,1248,1204,1184,1092,1287,1411,883,1399
SPATA25,64,43,65,52,41,56,36,35,56,48,43,62
RNU6-980P,0,0,0,0,0,0,0,0,0,0,0,0
RP1-153G14.4,125,96,169,108,145,137,144,131,167,147,86,159
SPATA21,8,3,5,7,6,3,4,1,4,5,2,7
SPATA22,0,2,0,1,1,0,0,1,0,0,1,1
SPATA24,86,96,96,89,76,67,79,104,80,122,81,86
BCL10,695,524,735,612,635,570,609,695,648,775,513,687
OR1K1,3,0,0,0,1,1,0,1,0,1,0,0
IGKV3OR2-5,0,0,0,0,0,0,0,0,0,0,0,0
RP11-75C23.1,0,0,0,0,0,0,0,0,0,0,0,0
SPATA18,36,35,82,61,19,25,73,135,41,82,57,39
SPATA19,4,0,2,2,2,2,4,0,0,4,3,0
SPATA16,0,0,0,0,0,0,0,0,0,0,0,0
SPATA17,211,144,196,164,199,193,206,155,225,173,171,251
RNU6-981P,0,0,0,0,0,0,0,0,0,0,0,0
SPATA12,3,3,1,5,3,5,3,1,4,3,1,4
SPATA13,686,558,696,389,696,680,658,438,626,465,441,860
ARHGDIG,1197,1017,1181,1161,1316,1326,1360,1550,1302,1512,1134,1431
RP11-666O2.1,0,0,0,0,0,0,0,0,0,0,0,0
RP11-527N22.1,0,0,0,0,0,0,0,0,0,6,4,1
RP11-527N22.2,2,1,2,4,3,0,3,1,2,3,5,4
CTD-2113L7.1,2,0,0,0,0,0,0,1,0,0,0,0
RP11-677O4.5,0,0,0,0,0,0,0,0,0,0,0,0
RP11-677O4.4,0,2,0,0,0,1,1,2,1,1,0,1
RP11-677O4.3,0,0,0,0,0,0,1,0,0,0,0,0
RP11-677O4.2,0,0,0,0,0,0,0,1,1,1,0,0
RNU6-982P,0,0,0,0,0,0,0,0,0,0,0,0
ARHGDIA,3615,3075,3362,4573,3729,3364,3799,5763,3697,5717,3882,3878
RP11-677O4.7,0,2,2,1,0,1,0,6,1,1,0,1
ARHGDIB,377,336,347,226,373,287,353,307,401,312,185,325
RP11-677O4.6,0,0,0,0,0,0,1,0,0,0,0,0
OR1I1,0,0,0,0,0,0,0,0,0,0,0,0
MEA1,2463,1997,2653,2346,2321,2182,2463,2959,2322,2639,1986,2606
RP11-544H14.1,0,0,0,0,0,0,0,0,1,0,0,0
CTC-457E21.10,0,0,0,0,0,0,0,0,0,0,0,0
RP11-89F17.5,0,0,0,0,0,0,0,0,0,0,0,0
MPRIP,21695,18230,23369,19779,22230,21200,20429,23497,21571,23451,18912,25320
FTLP17,0,0,1,0,2,1,0,0,0,1,0,0
FTLP18,0,0,0,0,0,0,0,0,0,0,0,0
FTLP19,0,0,0,0,0,0,0,0,0,0,0,0
CYP2G2P,0,0,0,0,0,0,0,1,0,0,0,0
AC104637.1,0,0,0,0,0,0,0,0,0,0,0,0
RP11-320P7.2,0,0,1,0,0,0,0,0,0,0,0,3
FTLP13,0,0,0,0,0,0,0,0,0,0,0,0
NARG2P2,1,0,0,2,0,0,0,1,0,0,0,1
RP11-320P7.1,4,2,8,3,4,2,5,6,6,5,2,6
FTLP14,0,0,0,0,0,0,0,0,0,0,0,0
FTLP15,1,0,0,0,0,0,1,0,0,0,0,0
RP11-108M12.3,0,0,1,2,2,0,1,6,5,2,0,1
FTLP16,0,0,0,0,0,0,0,0,0,0,0,0
RP11-108M12.2,0,0,2,0,1,0,0,0,0,0,0,2
FTLP10,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-983P,0,0,0,0,0,0,0,0,0,0,0,0
NARG2P1,0,2,0,2,0,0,0,3,2,1,1,3
RP11-580P21.1,0,0,0,0,0,0,0,1,0,0,0,0
FTLP12,0,1,0,2,0,0,0,0,0,0,2,0
RP11-55L3.1,0,0,0,0,0,0,0,0,0,0,0,0
OR1N2,0,0,0,0,0,0,0,0,0,0,0,0
OR1N1,0,0,0,0,0,0,0,0,0,0,0,1
TRIM36-IT1,3,2,2,0,3,2,4,6,2,1,0,1
ALS2CR12,50,45,78,52,38,36,39,61,50,72,52,53
C17orf76-AS1,9938,8371,10998,8545,9720,9448,10012,10400,9835,10405,8426,11641
MARCKSL1P2,0,0,0,0,0,0,0,0,0,0,0,0
LMCD1-AS1,47,39,58,45,34,46,40,50,55,53,45,37
ALS2CR11,35,37,41,21,44,27,26,29,32,29,32,31
RP11-25C15.1,0,0,0,0,0,0,0,0,0,0,0,0
IMPDH1,2278,1859,2286,2079,2294,1978,2274,2491,2206,2365,1817,2300
MARCKSL1P1,0,1,4,2,2,0,0,0,0,2,0,3
IMPDH2,4261,3519,4438,3875,4211,4058,4179,4662,4390,4642,3434,4585
RP11-78O22.1,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL620P,0,0,1,0,0,0,0,0,1,0,0,1
CTD-2311A18.1,0,0,0,0,0,0,0,0,0,0,0,0
SLC7A6OS,340,309,391,339,320,307,341,382,350,414,266,379
RP11-399O19.9,7,1,10,4,4,3,4,2,2,2,3,2
OR1L8,3,2,3,2,4,0,2,0,4,0,0,2
OR1L6,0,0,0,0,0,0,0,0,0,0,0,0
OR1L4,0,1,0,0,0,0,0,0,0,1,0,0
AC026703.1,0,0,0,0,0,0,0,0,0,0,0,0
OR1L3,0,0,0,0,0,0,0,0,2,0,0,0
RP11-174G17.2,0,0,0,0,0,0,0,0,0,0,2,0
OR1L1,0,0,0,0,0,0,0,0,0,0,0,0
AC026703.2,0,0,0,0,0,0,0,0,0,0,0,0
RP11-77C3.3,0,0,0,0,0,0,0,0,0,0,0,0
AC025594.1,0,0,0,0,0,0,0,0,0,0,0,2
RCBTB2P1,0,0,0,0,0,0,0,0,0,0,0,0
MYZAP,0,0,0,0,0,0,0,0,0,0,0,0
AC069240.1,0,0,0,0,0,0,0,0,0,0,0,0
OR1M1,0,0,0,0,0,0,0,0,0,0,0,0
5S_rRNA,1,5,9,4,3,1,1,5,11,8,8,3
CTD-2342N23.3,1,0,0,0,1,0,0,0,1,0,0,0
CTD-2342N23.2,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-977P,0,0,0,0,0,0,0,0,0,0,0,0
WASH6P,0,0,0,0,0,0,0,0,0,0,0,0
WWP2,2724,2248,2963,3019,2666,2702,2793,3681,2760,3506,2792,3254
WWP1,1695,1358,1833,1804,1745,1483,1695,1920,1679,2207,1567,1854
RP11-631M21.6,0,0,0,0,0,0,0,0,0,0,0,0
WWOX,443,382,448,473,446,429,387,545,426,508,394,530
C5AR2,0,0,3,0,0,0,0,0,0,0,0,0
C5AR1,148,131,165,107,121,127,118,143,117,142,117,157
RNU6-976P,0,0,0,0,0,0,0,0,0,0,0,0
RP6-218J18.2,10,8,13,16,24,6,14,15,12,12,17,8
WASH5P,96,49,64,67,64,58,74,66,69,68,56,64
LLNLR-249E10.1,0,0,0,0,0,0,0,0,0,0,0,0
OR2D2,3,5,2,2,3,2,0,0,3,2,3,4
NCBP2L,0,0,0,1,0,0,0,0,0,0,0,0
CDCA7L,161,141,201,55,270,196,192,65,220,66,48,194
OR2D3,0,0,0,0,0,2,0,0,0,0,0,0
RP11-547D23.1,7,1,5,4,2,0,6,2,4,4,2,6
MDH2,7098,5890,7248,6864,7588,6890,7625,8712,7286,8284,5399,7326
MDH1,10455,8953,11507,11101,11194,9960,11424,12712,11399,13224,8420,10756
OR2B6,0,0,0,0,0,1,0,0,1,0,0,2
TCEB3CL2,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-979P,1,0,0,0,0,0,0,0,0,0,0,0
OR2B3,0,0,0,0,0,0,0,0,0,0,0,0
OR2C3,0,0,0,0,0,0,0,0,0,0,0,0
OR2C1,9,5,2,3,3,6,4,10,3,3,4,10
MDFI,54,47,69,13,49,51,48,20,45,14,15,72
IGLV10-54,0,0,0,0,0,0,0,0,0,0,0,0
OR2A2,0,0,0,0,0,0,2,0,0,0,0,0
